Time,P (deg/s),Q (deg/s),R (deg/s),P dot (deg/s^2),Q dot (deg/s^2),R dot (deg/s^2),P_{inertial} (deg/s),Q_{inertial} (deg/s),R_{inertial} (deg/s),q bar (psf),Reynolds Number,V_{Total} (ft/s),V_{Inertial} (ft/s),UBody,VBody,WBody,UdotBody,VdotBody,WdotBody,UdotBody_i,VdotBody_i,WdotBody_i,BodyAccel_X,BodyAccel_Y,BodyAccel_Z,Aero V_{X Body} (ft/s),Aero V_{Y Body} (ft/s),Aero V_{Z Body} (ft/s),V_{X_{inertial}} (ft/s),V_{Y_{inertial}} (ft/s),V_{Z_{inertial}} (ft/s),V_{X_{ecef}} (ft/s),V_{Y_{ecef}} (ft/s),V_{Z_{ecef}} (ft/s),V_{North} (ft/s),V_{East} (ft/s),V_{Down} (ft/s),I_{xx},I_{xy},I_{xz},I_{yx},I_{yy},I_{yz},I_{zx},I_{zy},I_{zz},Mass,Weight,X_{cg},Y_{cg},Z_{cg},Altitude ASL (ft),Altitude AGL (ft),Phi (deg),Theta (deg),Psi (deg),Q(1)_{LOCAL},Q(2)_{LOCAL},Q(3)_{LOCAL},Q(4)_{LOCAL},Q(1)_{ECEF},Q(2)_{ECEF},Q(3)_{ECEF},Q(4)_{ECEF},Q(1)_{ECI},Q(2)_{ECI},Q(3)_{ECI},Q(4)_{ECI},Alpha (deg),Beta (deg),Latitude (deg),Latitude Geodetic (deg),Longitude (deg),X_{ECI} (ft),Y_{ECI} (ft),Z_{ECI} (ft),X_{ECEF} (ft),Y_{ECEF} (ft),Z_{ECEF} (ft),Earth Position Angle (deg),Distance AGL (ft),Terrain Elevation (ft),navigation/actual-heading-rad,propulsion/tank[0]/contents-volume-gal,propulsion/tank[1]/contents-volume-gal,systems/mixture-cmd-norm,guidance/wp-heading-rad,guidance/wp-distance,guidance/wp-heading-deg,guidance/selected_target_heading,guidance/angle-to-heading-rad,ap/roll-control-autopilot-on,ap/roll-autopilot-windup-trigger,ap/limited-roll-angle-rad,ap/roll-attitude-selector,ap/limited-roll-angle-error,ap/roll-rate-pid-control,ap/total-limited-roll-rate,ap/roll-rate-saturation,ap/limited-roll-rate-error,ap/roll-command-pid-control,ap/roll-cmd-smoother,ap/roll-cmd-norm-output,ap/roll-command-selector-steering,fcs/attitude/sensor/phi-rad,fcs/wing-leveler-ap-on-off,fcs/roll-ap-error-pid,fcs/roll-ap-autoswitch,fcs/heading-true-degrees,fcs/heading-error,fcs/heading-error-bias-switch,fcs/heading-corrected,fcs/heading-command,fcs/heading-roll-error-lag,fcs/heading-roll-error,fcs/heading-roll-error-switch,fcs/heading-pi-controller,fcs/roll-command-selector,fcs/altitude-error,fcs/alt-error-lag,fcs/hdot-command,fcs/hdot-error,fcs/ap-alt-hold-switch,fcs/windup-trigger,fcs/altitude-hold-pid,fcs/elevator,fcs/pitch-trim-sum,fcs/elevator-control,fcs/elevator-actuator,fcs/roll-trim-sum,fcs/left-aileron-control,fcs/left-aileron-actuator,fcs/right-aileron-control,fcs/right-aileron-actuator,fcs/delta-aileron-pos,fcs/effective-aileron-pos,fcs/yaw-trim-sum,fcs/rudder-control,fcs/flaps-control,fcs/flap-position-normalizer,IO320 Power Available (engine 0 in ft-lbs/sec),IO320 HP (engine 0),IO320 equivalent ratio (engine 0),IO320 MAP (engine 0 in inHg),Fixed-Pitch 75-inch Two-Blade Propeller Torque (engine 0),Fixed-Pitch 75-inch Two-Blade Propeller PFactor Pitch (engine 0),Fixed-Pitch 75-inch Two-Blade Propeller PFactor Yaw (engine 0),Fixed-Pitch 75-inch Two-Blade Propeller Thrust (engine 0 in lbs),Fixed-Pitch 75-inch Two-Blade Propeller RPM (engine 0),Fuel Tank 0,Fuel Tank 1,/fdm/jsbsim/position/vrp-gc-latitude_deg,/fdm/jsbsim/position/vrp-longitude_deg,/fdm/jsbsim/position/vrp-radius-ft,velocities/pi-deg_sec
0,0,0,0,24.11229627902877,104.3413094014026,0.6605190676902821,0,-0.004178074132240404,9.277188200408133e-19,25.88235701,4390684.641,158.786861724,1685.06792355,158.7868617235586,0,0,1.815624151038829,7.116349718109602e-15,17.23415431902279,-17.36861033039803,1.81562415103883,-3.289598731125166e-15,1.815624151038829,0,-14.81503561969376,158.7868617235585,0,0,0,1685.067923551406,0,0,158.7868617235586,0,0,158.7868617235586,0, 2095.734879,-10.78165492, 13.55483334,-10.78165492, 1505.011878, 3.979907608, 13.55483334, 3.979907608, 3150.439301,77.08075536,2480,45.48951612903226,4.22741935483871,35.42701612903226,4921.3058492579,4921.3058492584,1.272221872585406e-14,-1.412450015376051e-30,90.00000000000001,0.7071067811865476,7.850462293418875e-17,7.850462293418875e-17,0.7071067811865477,0.5,-0.5000000000000001,-0.5000000000000001,0.5000000000000002,0.5000000000000001,-0.5,-0.5,0.5000000000000001,0,0,0,0,0,20930567.63130926,0,0,20930567.63130926,0,0,0,4921.3058492584,0,1.57379633,19.6969697,19.6969697,0.834232839,3.14159265,0,180.013259,3.14159265,1.56779633,0,1,0.523,0,-2.22044605e-16,-6.66133815e-15,0.348,0,-6.66133815e-15,-1.66533454e-14,-4.89804276e-15,0,0,0,-1,1.11022302e-14,0,90.0066295,-90.0066295,0,-30,-0.5235,-0.00108835759,-0.00108835759,0,0,0,-100,-0.414937759,-0.0359132195,-0.0359132195,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,116996,212.719,1.29953,28.6383,460.195,-0,-0,307.974,2427.72,130,130,9.6435226764712999e-07,6.59151883819089778e-07,20930567.8873912543,0
0.1,2.061328489008568,0.0131439789118165,0.01128565358740007,19.68867865066337,0.09358293092772031,-0.03529701990070039,2.06132844268674,0.008965908191599668,0.01128031418504731,25.8824979,4390696.591,158.787293949,1685.06835569,158.7280549582451,-0.001662464253110577,4.336967361911075,0.005822684480091489,0.08213069947409672,0.03013743010445324,-0.1279912141802058,0.006643318116394608,0.04264327456962783,0.8822485157808585,-0.001702763746537698,-32.04354070991011,158.728054958245,-0.001662464253066612,4.336967361911084,-0.0132227304567093,1685.06835562494,-0.005639798029822604,0.0002228749209196579,158.7872938481942,-0.005639798029819591,-0.005639798029804864,158.7872938479794,-0.0003433368227758749,  2095.73183,-10.78165248,  13.5548472,-10.78165248, 1505.011666, 3.979930941,  13.5548472, 3.979930941, 3150.436382,77.08072282,2479.998953,45.48951506916538,4.227421139555112,35.42700600820582,4921.3058624007,4921.3058623991,-0.07320425175289744,1.565241250215093,90.00063546877882,0.707030582201897,-0.01011001430275944,0.009206552853162676,0.707050763967204,-0.5064559482130963,0.5071090623356875,0.4934362955724094,-0.4928117222919635,0.5064541513898537,-0.5071072632352107,-0.4934381445179296,0.4928135688561963,1.5651178734493,-0.00059987284199651,-2.4411878314389e-09,-2.457636314487e-09,4.3466693004306e-05,20930567.6306441,168.5068072890333,-0.0008917837830450923,20930567.63131638,15.87870110797149,-0.0008917837830450923,0.00041780741322404,4921.3058623991,0,1.57380742,19.6968904,19.6968904,0.834232838,-1.57074016,15.8749676,-90.0034114,-1.57074016,3.13863772,0,1,0.523,0,0.00127765522,0.0350282753,0.348,0,0.00201987196,0.00504967991,0.0385689564,0,0,-0.00153398437,-1,0.497352066,0,90.007265,-90.007265,0,-30,-0.5235,-0.450403071,-0.449125416,0,0,0,-100,-98.0503379,-8.48634097,-8.4866843,0,0,0,-0,0.177856489,0.0713827019,0.0733827017,0.00301693761,0.000789683419,-0.00108651577,-0.00105291122,0.000615354365,-0.00170187014,-0.000850935069,0.00258596343,0.000722000989,0,0,43337.6,78.7957,1.55775,15.1297,190.497,-0.0296723,4.79295,225.3,2172.4,129.999,129.999,9.62799248013460985e-07,4.41064949279293563e-05,20930567.8934368603,2.06132844268673976
0.2,3.686367855432199,0.01757235972815352,-0.003845029246419079,12.69846115810222,-0.004956979922137819,-0.260982589867427,3.686367763296898,0.01339431453783826,-0.003829478243526703,25.88257743,4390703.333,158.787538123,1685.06859976,158.7282118351114,0.02074638570973273,4.340115265134106,-0.005937996188223549,0.3971715397611094,0.02887079289093464,-0.1165125788608918,-0.005102055064146709,-0.1073476734130439,0.871744284629295,-0.01198367129503733,-32.0554598343061,158.7282118351113,0.02074638570977674,4.340115265134114,-0.02542483458107811,1685.068599552666,-0.008092403922597602,0.001466383413465167,158.7875379104478,-0.008092403922592202,-0.008092403922472926,158.7875379080401,-0.001707307970467475,  2095.72859,-10.78164993, 13.55486165,-10.78164993, 1505.011443, 3.979955283, 13.55486165, 3.979955283, 3150.433279,77.08068822,2479.99784,45.48951394214408,4.227423037353277,35.42699524611176,4921.3059551641,4921.3059551627,0.213292834667616,1.566884833889703,90.00126396465456,0.7070496515364746,-0.008352497474539766,0.01098435630023003,0.7070292567954718,0.507726341284064,-0.505850916168068,-0.4921928741503553,0.4940394595716388,0.5077227386780112,-0.5058473270275782,-0.4921965628603227,0.4940431619573726,1.5662517708867,0.0074859800633642,-3.9761082014037e-09,-4.0028988266499e-09,8.6933524170395e-05,20930567.62870196,337.013665040149,-0.001452501429015436,20930567.63139107,31.75745268758516,-0.001452501429015436,0.00083561482644808,4921.3059551627,0,1.57381839,19.696806,19.696806,0.834232836,-1.57075059,31.7499857,-90.0040088,-1.57075059,3.13861633,0,1,0.523,0,-0.00372266224,-0.117922029,0.348,0,-0.180344475,-0.450861187,-0.39837629,0,0,-0.00153398437,-1,1.24730069,0,90.0078936,-90.0078936,0,-30,-0.5235,-0.453968056,-0.457690718,0,0,0,-100,-98.2358738,-8.50239919,-8.5041065,0,0,0,-0,0.177856496,0.0713827048,0.0733827017,-0.00645494382,-0.00225277539,-0.00108651577,0.00168958154,0.000615354365,-0.00170187014,-0.000850935069,0.00258596343,0.000722000989,0,0,41728.6,75.8703,1.55775,14.8061,183.613,-0.0298928,4.7696,224.541,2169.87,129.999,129.999,9.57746592370145545e-07,8.75731839606683232e-05,20930567.8952965327,3.68636776329689786
0.3,4.645750874018693,0.0137328770769369,-0.03577946950613885,5.302695633284749,-0.07560409496567427,-0.3708028793262097,4.645750908686101,0.009555057216605033,-0.03573337538600182,25.8819909,4390653.572,158.785739626,1685.06679892,158.7263424965712,0.07896198003690427,4.342012350944969,-0.033906854454538,0.788908791801616,0.005384832168779496,-0.1128324105982372,-0.0334205956646338,-0.3379922131961783,0.8444839860355456,-0.01571638852375773,-32.06148755942615,158.7263424965712,0.07896198003694833,4.342012350944977,-0.03678593051026503,1685.066798252076,-0.02973739925665095,0.003550854240853774,158.7857368017273,-0.02973739925664885,-0.02973739925605605,158.7857367932347,-0.003912236685588155, 2095.725435,-10.78164745, 13.55487573,-10.78164745, 1505.011227,  3.97997899, 13.55487573,  3.97997899, 3150.430257,77.08065452,2479.996755,45.48951284453494,4.227424885624103,35.42698476487888,4921.3062329814,4921.3062329808,0.6321088638448433,1.5685850748421,89.99952441203996,0.7070861028978971,-0.005778565681627579,0.01357894696286088,0.7069734531555678,0.5095865795364298,-0.5039912277511994,-0.4903841862447334,0.4958202397918942,0.5095811561386338,-0.5039858638142294,-0.4903896989583852,0.4958258137081439,1.5669544908211,0.028492409930738,-8.6236311278303e-09,-8.6817363045763e-09,0.00013040017971984,20930567.62558825,505.5204586213394,-0.003150275571529859,20930567.63163878,47.63614011369725,-0.003150275571529859,0.0012534222396721,4921.3062329808,0,1.57378803,19.6967239,19.6967239,0.834232827,-1.57073019,47.6249398,-90.0028402,-1.57073019,3.13866709,0,1,0.523,0,-0.0110323809,-0.174,0.348,0,-0.254218255,-0.635545638,-0.632422915,0,0,-0.00153398437,-1,1.91506468,0,90.0061539,-90.0061539,0,-30,-0.5235,-0.457359173,-0.468391554,0,0,0,-100,-98.4037535,-8.51692914,-8.52084137,0,0,0,-0,0.177856528,0.0713827176,0.0733827017,-0.0208889703,-0.00729025064,-0.00479025064,0.00546768798,0.00296768798,-0.00775793861,-0.00387896931,0.00258596343,0.000722000989,0,0,40232.8,73.1505,1.55775,14.5144,177.478,0.0164388,4.72878,222.692,2164.17,129.998,129.998,9.47942850440822805e-07,0.000131039596682239239,20930567.898142416,4.64575090868610108
0.4,4.853332436789024,0.00446506577263104,-0.07272847565696229,-1.276789804233793,-0.1039647551467467,-0.3421723069907442,4.853332856197313,0.0002877781517169394,-0.07264741141854046,25.88026934,4390507.525,158.780459854,1685.0615048,158.7210084028611,0.1770646204473762,4.341033430410987,-0.07466344618179532,1.175377212540122,-0.02703599618128294,-0.1238450526039614,-0.07436112397901239,-0.6065570376470562,0.8038156171288025,-0.0153163123653651,-32.05554189491325,158.721008402861,0.1770646204474203,4.341033430410994,-0.04848214903650586,1685.06150234476,-0.0768723486639712,0.005300049163154519,158.7804411572671,-0.07687234866397501,-0.07687234866167894,158.7804411404529,-0.005781873568472484,  2095.72236,-10.78164503, 13.55488945,-10.78164503, 1505.011015, 3.980002093, 13.55488945, 3.980002093, 3150.427312,77.08062168,2479.995699,45.48951177490313,4.22742668678375,35.42697455080557,4921.3067269027,4921.3067269007,1.11158190828199,1.56968476205269,89.99424630880809,0.7071366243629155,-0.002825963679587324,0.01654384604553126,0.7068777189669545,0.5117186127790269,-0.5018355456173009,-0.4883235979037188,0.4978405469835316,0.5117113521035654,-0.5018284237402648,-0.4883309167368048,0.4978480099525299,1.5666540141087,0.063893614898902,-2.2600854328355e-08,-2.2753136657674e-08,0.00017386589268957,20930567.62133406,674.0269078499288,-0.008256257512943583,20930567.63209054,63.51448320959059,-0.008256257512943583,0.0016712296528962,4921.3067269007,0,1.57369591,19.6966438,19.6966438,0.834232811,-1.57066634,63.4995499,-89.9991811,-1.57066634,3.13882306,0,1,0.523,0,-0.0194007642,-0.174,0.348,0,-0.258826692,-0.64706673,-0.647071821,0,0,-0.00153398437,-1,2.41152513,0,90.0008754,-90.0008754,0,-30,-0.5235,-0.460584904,-0.479985668,0,0,0,-100,-98.5556573,-8.5300762,-8.53585807,0,0,0,-0,0.1778566,0.0713827462,0.0733827017,-0.037890647,-0.0132238358,-0.0107238358,0.00991787686,0.00741787686,-0.0181417127,-0.00907085634,0.00258596343,0.000722000989,0,0,38855,70.6455,1.55775,14.2527,172.029,0.114899,4.67446,220.032,2156.08,129.998,129.998,9.28036438746300494e-07,0.00017450498923381362,20930567.901555676,4.85333285619731303
0.5,4.50225951360577,-0.005788895988579326,-0.1010135390783582,-5.695419339562578,-0.09561588828617358,-0.1939975328072674,4.502260566557568,-0.009965372002945509,-0.1008979949430121,25.8770675,4390235.9,158.770639037,1685.05163597,158.711087107882,0.3109054339794878,4.337048181619459,-0.1251058540995903,1.489495691365402,-0.05280350304650483,-0.1495589092836127,-0.1244148404386926,-0.8689233913690882,0.7530434378611863,-0.01687960575939368,-32.03725265245225,158.7110871078819,0.310905433979532,4.337048181619466,-0.06204289715494073,1685.051628074246,-0.150847845494549,0.005184415576730217,158.770567291717,-0.1508478454945662,-0.1508478454891601,158.7705672709097,-0.005786650930367898, 2095.719361,-10.78164267, 13.55490283,-10.78164267, 1505.010809, 3.980024628, 13.55490283, 3.980024628, 3150.424439,77.08058964,2479.994668,45.48951073158268,4.227428443637504,35.42696458798354,4921.3073268794,4921.3073268812,1.584314152230944,1.569905284027375,89.98555498237425,0.7071958716606216,9.136559146234556e-05,0.01946118050831828,0.7067497811897258,0.5138231814891013,-0.4996820351179623,-0.4863028112079015,0.499813142840484,0.5138140696664288,-0.4996731695948693,-0.4863119204742499,0.4998225099017513,1.5653142721279,0.1121969445193,-5.3169603987394e-08,-5.3527855539582e-08,0.00021732955013819,20930567.61582936,842.5326061501445,-0.01942324551169669,20930567.63263631,79.39207540969016,-0.01942324551169669,0.0020890370661202,4921.3073268812,-3.2706509777303e-09,1.57354421,19.6965658,19.6965658,0.834232793,-1.57055168,79.3734107,-89.9926111,-1.57055168,3.13908942,0,1,0.523,0,-0.0276514983,-0.174,0.348,0,-0.253367719,-0.633419297,-0.635563054,0,0,-0.00153398437,-1,2.73101792,0,89.9921834,-89.9921834,0,-30,-0.5235,-0.463653314,-0.491304812,0,0,0,-100,-98.6931054,-8.54197204,-8.54775869,0,0,0,-0,0.177856704,0.0713827881,0.0733827017,-0.0550931218,-0.0192274995,-0.0167274995,0.0144206246,0.0119206246,-0.0286481241,-0.0143240621,0.00258596343,0.000722000989,0,0,37596.1,68.3566,1.55775,14.0187,167.208,0.2576,4.6092,216.793,2146.25,129.997,129.997,8.91595475241548664e-07,0.000217968286641091611,20930567.9050124101,4.50226056655756768
0.6,3.796326922003327,-0.01437892095663289,-0.1105778960988489,-8.238388000137467,-0.07286225933600632,0.03222559886279578,3.796328759002412,-0.01855443743709394,-0.1104317379607624,25.87215198,4389818.884,158.755559642,1685.03644388,158.6957682901924,0.4711638874691721,4.331148663779765,-0.1820698779359737,1.692285854250243,-0.06411057265727749,-0.1847801278579979,-0.1804623417240356,-1.098200985943629,0.6954503497572136,-0.02130832655665915,-32.01064447035086,158.6957682901923,0.4711638874692163,4.331148663779772,-0.07870764950712877,1685.036423557327,-0.2495877139774824,0.00196430947390791,158.7553634353359,-0.2495877139774732,-0.2495877139724001,158.7553634247505,-0.002686907282206441, 2095.716432,-10.78164036,  13.5549159,-10.78164036, 1505.010608, 3.980046634,  13.5549159, 3.980046634, 3150.421633,77.08055836,2479.993662,45.48950971277479,4.227430159214431,35.42695485923544,4921.307780046,4921.3077800459,2.00405018521669,1.569295228771401,89.97479896280285,0.7072571067186482,0.00268757163957881,0.02204577411303561,0.7066074906186642,0.5156938715994283,-0.4977454449727184,-0.4845187121248763,0.5015485224826747,0.5156828994275181,-0.4977348453551098,-0.4845296008600127,0.5015598038597091,1.563336911844,0.17004596187008,-1.074542923128e-07,-1.0817830874555e-07,0.0002607897888068,20930567.60882131,1011.037055492963,-0.03925383949478355,20930567.63302324,95.26841870462579,-0.03925383949478355,0.0025068444793442,4921.3077800459,0,1.57335649,19.6964895,19.6964895,0.834232779,-1.57038429,95.2460268,-89.98302,-1.57038429,3.13944453,0,1,0.523,0,-0.0349772741,-0.174,0.348,0,-0.241438499,-0.603596246,-0.607028756,0,0,-0.00153398437,-1,2.89441491,0,89.9814266,-89.9814266,0,-30,-0.5235,-0.466572075,-0.501549349,0,0,0,-100,-98.8174736,-8.55273589,-8.5554228,0,0,0,-0,0.177856807,0.0713828296,0.0733827017,-0.0708156859,-0.0247146744,-0.0222146744,0.0185360058,0.0160360058,-0.0382506802,-0.0191253401,0.00258596343,0.000722000989,0,0,36453.8,66.2796,1.55775,13.8103,162.959,0.430566,4.53627,213.167,2135.21,129.997,129.997,8.32076767813363754e-07,0.000261428168962047117,20930567.9079837166,3.79632875900241196
0.7,2.90770837778273,-0.02078311625716955,-0.09547719657884735,-9.253517379500817,-0.05463599130664845,0.2964253399804837,2.907710990916858,-0.0249576921418296,-0.09530627902784347,25.86538571,4389244.82,158.734798735,1685.01547229,158.674557973464,0.6456431136615792,4.324826730396633,-0.2423989038317709,1.765422905158596,-0.06100303669308715,-0.2227485366621167,-0.2397780085966217,-1.279407484620015,0.6340781514649109,-0.02850864619284849,-31.98108195144986,158.6745579734639,0.6456431136616234,4.324826730396639,-0.09908828687995856,1685.01542898212,-0.3689401929312944,-0.004972330712434747,158.7343699006688,-0.3689401929312928,-0.3689401929452022,158.7343699248343,0.004129437522583324, 2095.713568,-10.78163811, 13.55492868,-10.78163811, 1505.010411, 3.980068151, 13.55492868, 3.980068151, 3150.418891,77.08052778,2479.992678,45.48950871662111,4.227431836643795,35.42694534681576,4921.3077396564,4921.3077396558,2.343541577332308,1.567995021184754,89.96415150442702,0.7073116326228246,0.00479315510150588,0.0241306191935748,0.7064736323727462,0.5172064417879227,-0.4961617402544719,-0.4830832438332256,0.5029429426965834,0.5171936053072539,-0.4961494106478849,-0.4830959069155255,0.502956142883758,1.5612646930142,0.23304737071631,-1.9169971898015e-07,-1.92991372796e-07,0.0003042450805265,20930567.59996325,1179.539697593093,-0.0700293104915916,20930567.63290457,111.1429548409285,-0.0700293104915916,0.0029246518925683,4921.3077396558,0,1.57317065,19.696415,19.696415,0.83423278,-1.57016624,111.116844,-89.9705258,-1.57016624,3.13984841,0,1,0.523,0,-0.0409025167,-0.174,0.348,0,-0.226094042,-0.565235105,-0.569253158,0,0,-0.00153398437,-1,2.92992408,0,89.9707784,-89.9707784,0,-30,-0.5235,-0.469348487,-0.510251003,0,0,0,-100,-98.9300065,-8.56247574,-8.5583463,0,0,0,-0,0.177856854,0.0713828482,0.0733827017,-0.0840230781,-0.0293240543,-0.0268240543,0.0219930407,0.0194930407,-0.046317095,-0.0231585475,0.00258596343,0.000722000989,0,0,35423.6,64.4065,1.55775,13.6255,159.232,0.617484,4.45912,209.308,2123.38,129.996,129.996,7.43582721483751279e-07,0.000304883153656316228,20930567.9099663869,2.9077109909168577
0.8,1.972669551358391,-0.02603295312266847,-0.05358796515818606,-9.108293505218782,-0.05201865374125289,0.5630363076979978,1.972672743684209,-0.03020675030856636,-0.05339899342870479,25.85671265,4388508.906,158.708181214,1684.98851832,158.6472693659954,0.8211709176295336,4.319303778976628,-0.3031305327599999,1.707739643144319,-0.04874059083914517,-0.2580346352163154,-0.3000026197836689,-1.407101172289125,0.5715594554583914,-0.03770878665835882,-31.9528597717089,158.6472693659953,0.8211709176295779,4.319303778976634,-0.1231677344383316,1684.98843851758,-0.5037538156113924,-0.01560861192604435,158.7073809643466,-0.5037538156113881,-0.5037538156913821,158.7073810561437,0.01464550903078266, 2095.710765, -10.7816359, 13.55494119, -10.7816359, 1505.010218, 3.980089219, 13.55494119, 3.980089219, 3150.416205,77.08049783,2479.991714,45.48950774125768,4.227433479064302,35.4269360329254,4921.3068303503,4921.3068303502,2.591140896597279,1.566056351976016,89.9562058526023,0.7073484988246337,0.006335176082752349,0.02564464953284521,0.7063712329256306,0.5183028979664532,-0.4949987788917628,-0.4820389151076434,0.5039611087942071,0.5182881979765261,-0.4949847183483788,-0.4820533532546643,0.5039762266771672,1.5595399644784,0.29645502463277,-3.108555789618e-07,-3.1295009322033e-07,0.00034769380689226,20930567.58887988,1348.039941188317,-0.113557818300547,20930567.63190496,127.0150925999828,-0.113557818300547,0.0033424593057923,4921.3068303502,0,1.57303197,19.696342,19.696342,0.834232808,-1.56990228,126.985279,-89.9554006,-1.56990228,3.14025105,0,1,0.523,0,-0.04522394,-0.174,0.348,0,-0.209766011,-0.524415028,-0.528474869,0,0,-0.00153398437,-1,2.86873848,0,89.9628322,-89.9628322,0,-30,-0.5235,-0.471989491,-0.517213431,0,0,0,-100,-99.0318304,-8.57128931,-8.5566438,0,0,0,-0,0.177856775,0.0713828167,0.0733827017,-0.0942199424,-0.0328827599,-0.0303827599,0.0246620699,0.0221620699,-0.0525448298,-0.0262724149,0.00258596343,0.000722000989,0,0,34499.9,62.727,1.55775,13.4625,155.978,0.802246,4.38068,205.339,2111.12,129.996,129.996,6.21309552727126975e-07,0.000348331667894824038,20930567.9105227366,1.97267274368420842
0.9,1.091138427461431,-0.03186776847863535,0.01394441891925145,-8.156812218284827,-0.06752518382081044,0.8030386381027763,1.09114180902256,-0.03604103524623511,0.01414475989356326,25.84614424,4387612.046,158.6757384,1684.95559667,158.6139931510003,0.9851286792377321,4.315165708567985,-0.3617098886893394,1.531322913342913,-0.03446146521888949,-0.2880425886310043,-0.3591170096851529,-1.482853608290148,0.5100240597139764,-0.04775065424890308,-31.92793847389358,158.6139931510002,0.9851286792377764,4.315165708567991,-0.1505210284243273,1684.95546507598,-0.648704948006923,-0.02951974451737982,158.6744096172654,-0.6487049480069178,-0.6487049482409672,158.6744098150871,0.0284365353454854, 2095.708015,-10.78163374, 13.55495346,-10.78163374,  1505.01003, 3.980109879, 13.55495346, 3.980109879, 3150.413572,77.08046846,2479.990769,45.48950678485377,4.227435089558799,35.4269269000821,4921.3047012463,4921.3047012437,2.747153141755399,1.563357976251562,89.95360986992083,0.7073550478951063,0.00731544510915204,0.0265895131609842,0.706320266076253,0.5189754557122969,-0.4942694038391738,-0.481375610960895,0.5046184241272875,0.5189588966227762,-0.4942536074646537,-0.481391829913723,0.5046354537847731,1.558373305124,0.35571965049037,-4.6842185068805e-07,-4.7157803095881e-07,0.00039113432389722,20930567.57522043,1516.537185653572,-0.1711179306502493,20930567.62967354,142.8842314096682,-0.1711179306502493,0.0037602667190164,4921.3047012437,0,1.57298667,19.6962704,19.6962704,0.834232875,-1.56959873,142.850738,-89.9380073,-1.56959873,3.14059991,0,1,0.523,0,-0.0479468674,-0.174,0.348,0,-0.194250283,-0.485625709,-0.489340321,0,0,-0.00153398437,-1,2.74164535,0,89.960236,-89.960236,0,-30,-0.5235,-0.474501692,-0.522448559,0,0,0,-100,-99.1239644,-8.57926507,-8.55082853,0,0,0,-0,0.177856505,0.0713827082,0.0733827017,-0.101333275,-0.0353653129,-0.0328653129,0.0265239847,0.0240239847,-0.0568892976,-0.0284446488,0.00258596343,0.000722000989,0,0,33676.2,61.2294,1.55775,13.3194,153.154,0.970712,4.30302,201.357,2098.71,129.995,129.995,4.61743376331159093e-07,0.000391772110763590603,20930567.9093088061,1.09114180902255975
